task,split,env_id,episode_path,tcr@1,tcr@2,tcr@5,avg_tcr,ndtw,nsp,sr,cr,cspl,spl,gt_length,pred_length,num_gt,num_pred
hl,seen,4_lake,task_hl/test_seen/4_lake/episode_0242/traj_gt_pred_xyzk.npz,0.27472527472527475,0.5201465201465202,1.0,0.5982905982905983,0.4963886088937348,0.9723029797593192,1.0,0.0,1.0,1.0,222.0693042585585,215.46502378252444,273.0,273.0
hl,seen,4_lake,task_hl/test_seen/4_lake/episode_0247/traj_gt_pred_xyzk.npz,0.2706766917293233,0.6691729323308271,1.0,0.6466165413533834,0.6081628632591116,0.9899208366132795,1.0,0.0,1.0,1.0,229.62007430574675,227.50712279957642,266.0,266.0
hl,seen,4_lake,task_hl/test_seen/4_lake/episode_0252/traj_gt_pred_xyzk.npz,0.41901408450704225,0.8661971830985915,1.0,0.761737089201878,0.6988746624240532,0.000709038029818259,1.0,0.0,1.0,1.0,227.08237918497284,223.91298785656053,284.0,284.0
hl,seen,4_lake,task_hl/test_seen/4_lake/episode_0257/traj_gt_pred_xyzk.npz,1.0,1.0,1.0,1.0,0.9401574040025198,0.005187142705010861,1.0,0.0,1.0,1.0,257.5527027618706,255.0169443724721,322.0,322.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0148/traj_gt_pred_xyzk.npz,0.08771929824561403,0.09473684210526316,0.11578947368421053,0.09941520467836258,3.0980678783713225e-08,0.0,1.0,0.0,1.0,1.0,225.90608788098984,121.45224903353795,285.0,285.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0152/traj_gt_pred_xyzk.npz,0.18181818181818182,0.31986531986531985,0.8888888888888888,0.46352413019079686,0.3358594158051351,0.9828199357722768,1.0,0.0,0.9957580953820758,0.9957580953820758,240.3228887867788,241.3466582911044,297.0,297.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0156/traj_gt_pred_xyzk.npz,0.2743055555555556,0.4513888888888889,1.0,0.5752314814814815,0.4265544339948693,0.947056341580001,1.0,0.0,1.0,1.0,216.9049016266158,208.96291979315362,288.0,288.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0160/traj_gt_pred_xyzk.npz,0.3048780487804878,0.5447154471544715,1.0,0.6165311653116531,0.29138305723120805,0.9007016918302674,0.0,0.0,0.0,0.0,185.61783194207513,180.20118690244246,246.0,246.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0164/traj_gt_pred_xyzk.npz,0.5401459854014599,1.0,1.0,0.8467153284671532,0.6572767451182396,0.9905818023550195,1.0,0.0,0.9952342010738173,0.9952342010738173,219.60088420395232,220.65246950618445,274.0,274.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0168/traj_gt_pred_xyzk.npz,0.5949367088607594,1.0,1.0,0.8649789029535865,0.7669966269907974,0.9867379218478871,1.0,0.0,1.0,1.0,246.06549009894744,244.81994832335144,316.0,316.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0172/traj_gt_pred_xyzk.npz,0.38257575757575757,0.7916666666666666,1.0,0.7247474747474748,0.6201555912887075,0.0,1.0,0.0,0.998255225448146,0.998255225448146,200.18254117428936,200.53242504633175,264.0,264.0
hl,unseen,1_office,task_hl/test_unseen/1_office/episode_0175/traj_gt_pred_xyzk.npz,0.21160409556313994,0.3890784982935154,1.0,0.5335608646188851,0.4434147487940629,0.991473318574144,1.0,0.0,0.9869425761797539,0.9869425761797539,230.81462606802415,233.8683441558057,293.0,293.0
